Check_Ave,Date,Item_Count,Location,Sub-total
13.68,9/14/2017,28,Post Office,341.77
6.58,9/15/2017,381,Lou's,"1,257.79"
7.59,9/15/2017,32,Post Office,188.85
0.73,9/15/2017,3199,HDC,"2,353.24"
4.53,9/15/2017,758,8:15,"1,938.59"
6.99,9/15/2017,1107,Tylers,"4,138.86"
5.63,9/15/2017,1729,ETC,"5,061.27"
0,9/15/2017,,Stadium West,0
17.14,9/15/2017,809,Cellar,"3,403.69"
7.92,9/15/2017,1535,Passport,"4,891.74"
6.71,9/15/2017,1139,THC,"1,998.17"
5.12,9/16/2017,462,8:15,"1,242.05"
1.1,9/16/2017,2384,HDC,"2,532.40"
7.9,9/16/2017,2907,Stadium West,"10,093.00"
14.42,9/16/2017,720,Cellar,"2,865.01"
8.58,9/16/2017,657,Passport,"1,833.03"
7.19,9/16/2017,2196,Stadium East,"7,519.00"
6.09,9/16/2017,1342,ETC,"4,136.67"
6.41,9/17/2017,196,Dean's Den,538.7
8.35,9/17/2017,127,Stadium West,426
0.74,9/17/2017,2990,HDC,"2,152.12"
4.19,9/17/2017,1449,8:15,"3,871.07"
7.1,9/17/2017,2229,ETC,"6,881.01"
7.92,9/17/2017,690,Tylers,"2,747.22"
14.07,9/17/2017,787,Cellar,"3,242.04"
7.1,9/18/2017,1335,Tylers,"5,256.97"
7.2,9/18/2017,1725,Passport,"5,832.41"
7.45,9/18/2017,1299,THC,"2,248.19"
6.26,9/18/2017,2527,ETC,"7,743.86"
0.48,9/18/2017,4190,HDC,"2,041.64"
4.04,9/18/2017,1924,8:15,"5,008.93"
14.54,9/18/2017,445,Cellar,"1,999.47"
5.91,9/18/2017,283,Dean's Den,761.79
12.72,9/18/2017,39,Post Office,469.94
6.17,9/18/2017,1156,Lou's,"3,821.93"
0,9/18/2017,,Stadium East,0
0,9/18/2017,,Robins Cntr East,0
5.58,9/19/2017,1041,Lou's,"3,406.91"
1,9/19/2017,1,Stadium East,1
6.48,9/19/2017,45,Post Office,264.51
