Check_Ave,Date,Item_Count,Location,Sub-total
14.84,9/20/2017,1044,Cellar,"4,613.37"
5.82,9/20/2017,295,Dean's Den,862.01
1.41,9/20/2017,8,Post Office,8.43
12.03,9/21/2017,46,Post Office,503.83
4.19,9/21/2017,1567,8:15,"4,128.19"
5.73,9/21/2017,956,Lou's,"3,181.88"
7.4,9/21/2017,1404,Tylers,"5,538.68"
6.13,9/21/2017,2495,ETC,"7,442.79"
5.21,9/21/2017,44,Concessions,146
13.78,9/21/2017,715,Cellar,"2,815.29"
5.07,9/21/2017,286,Dean's Den,816.48
7.31,9/21/2017,1740,Passport,"5,651.75"
14.86,9/22/2017,511,Cellar,"1,961.07"
0,9/22/2017,,Concessions,0
5.92,9/22/2017,2009,ETC,"5,710.81"
7.61,9/22/2017,1466,Passport,"4,862.25"
14.51,9/22/2017,24,Post Office,332.07
7.69,9/22/2017,1257,Tylers,"4,881.11"
5.77,9/22/2017,446,Lou's,"1,411.47"
3.99,9/22/2017,710,8:15,"1,753.43"
8.11,9/23/2017,2331,Concessions,"8,309.00"
8.5,9/23/2017,3140,Concessions,"11,285.00"
13.77,9/23/2017,909,Cellar,"3,667.12"
4.3,9/23/2017,471,8:15,"1,267.24"
7.4,9/23/2017,381,Passport,"1,207.06"
6.68,9/23/2017,1500,ETC,"4,883.19"
14.73,9/24/2017,754,Cellar,"3,250.72"
5.55,9/24/2017,256,Dean's Den,721.98
6.71,9/24/2017,2320,ETC,"7,145.24"
8.06,9/24/2017,829,Tylers,"3,388.02"
4.16,9/24/2017,1798,8:15,"4,692.44"
7.94,9/25/2017,39,Post Office,316
7.26,9/25/2017,1302,Tylers,"5,189.93"
5.96,9/25/2017,994,Lou's,"3,393.66"
14.27,9/25/2017,484,Cellar,"2,052.55"
7.26,9/25/2017,1894,Passport,"5,803.98"
6.31,9/25/2017,2801,ETC,"8,268.90"
6.1,9/25/2017,375,Dean's Den,988.38
4.03,9/25/2017,2238,8:15,"5,798.29"
5.76,9/26/2017,323,Dean's Den,905.08
5.82,9/26/2017,1122,Lou's,"3,606.59"
7.76,9/26/2017,44,Post Office,308.96
4,9/26/2017,2188,8:15,"5,659.04"
7.33,9/26/2017,1349,Tylers,"5,444.92"
5.94,9/26/2017,2385,ETC,"7,064.19"
14.36,9/26/2017,372,Cellar,"1,639.31"
7.55,9/26/2017,1637,Passport,"5,577.06"
4.06,9/27/2017,2085,8:15,"5,453.15"
6.54,9/27/2017,2795,ETC,"8,675.68"
6.01,9/27/2017,1217,Lou's,"3,829.51"
14.85,9/27/2017,764,Cellar,"3,113.75"
5.39,9/27/2017,324,Dean's Den,846.04
7.55,9/27/2017,1474,Tylers,"5,940.90"
16.07,9/27/2017,45,Post Office,658.69
7.25,9/27/2017,1843,Passport,"5,923.13"
5.58,9/28/2017,285,Dean's Den,775.15
5.68,9/28/2017,841,Lou's,"2,622.73"
7.01,9/28/2017,36,Post Office,223.28
4.21,9/28/2017,1713,8:15,"4,506.99"
6.95,9/28/2017,1423,Tylers,"5,552.83"
13.85,9/28/2017,914,Cellar,"3,761.97"
5.97,9/28/2017,2746,ETC,"8,019.90"
7.22,9/28/2017,1713,Passport,"5,488.44"
7.29,9/29/2017,1036,Tylers,"4,094.92"
4.1,9/29/2017,783,8:15,"1,970.56"
7.38,9/29/2017,1445,Passport,"4,550.22"
14.21,9/29/2017,680,Cellar,"2,786.14"
5.83,9/29/2017,383,Lou's,"1,227.56"
5.95,9/29/2017,26,Post Office,153.85
6.16,9/29/2017,2190,ETC,"6,467.65"
7.65,9/30/2017,479,Passport,"1,425.64"
6.32,9/30/2017,1632,ETC,"4,917.46"
4.36,9/30/2017,571,8:15,"1,496.57"
15.98,9/30/2017,912,Cellar,"3,688.65"
8.31,10/1/2017,743,Tylers,"3,266.37"
