STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/29/2017,4.7,,0,0,0,52,71,35,,30,270,10.1,17,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/30/2017,4.92,,0,0,0,51,65,39,,190,130,14.1,17,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/1/2017,6.26,,0,0,0,52,60,36,,20,20,18.1,25.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/2/2017,1.12,,0,0,0,41,53,30,,190,200,6.9,8.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/3/2017,2.01,,0,0,0,47,60,37,,20,40,8.9,12.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/4/2017,3.36,,0,0,0,44,58,32,,140,130,13,15,1,,,,,,1,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/5/2017,6.04,,0.07,0,0,51,65,39,,200,,10.1,,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/6/2017,7.16,,0.02,0,0,53,61,42,,320,320,19.9,23,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/7/2017,6.04,,0,0,0,45,50,37,,300,320,13,16.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/8/2017,4.47,,0.65,2.4,0,38,43,32,,10,10,12.1,15,1,1,,1,,1,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/9/2017,7.16,,0.27,0.7,2,33,33,32,,360,360,15,19,1,,,,,1,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/10/2017,8.5,,0,0,3.1,34,40,29,,250,250,15,18.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/11/2017,6.93,,0,0,1.2,38,50,33,,290,290,14.1,17,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/12/2017,12.75,,0.01,0,0,42,52,28,,320,320,30,38.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/13/2017,10.96,,0,0,0,32,37,20,,190,180,21.9,32,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/14/2017,9.4,,0,0,0,42,50,29,,340,190,19.9,28,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/15/2017,5.82,,0,0,0,36,35,23,,330,10,13,15,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/16/2017,6.93,1345,0,0,0,38,49,22,,230,240,17,21.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/17/2017,2.46,1309,0.01,0,0,40,50,25,,180,180,8.9,12.1,,,,,,,1,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/18/2017,5.37,1521,0,0,0,47,64,35,,250,250,15,19,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/19/2017,6.26,1347,0,0,0,50,65,34,,230,260,17,19.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/20/2017,6.26,235,0,0,0,53,57,36,,250,250,14.1,17,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/21/2017,4.03,921,0,0,0,40,50,31,,40,30,8.9,12.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",12/22/2017,5.14,1313,0,0,0,43,61,32,,190,220,16.1,19.9,,,,,,,,
