Date,Location,Check_Ave,Sales,Item_Count,Year
9/25,Dean's Den,6.1,988.38,375,1718
9/25,8:15,4.03,"5,798.29",2238,1718
9/26,Dean's Den,5.76,905.08,323,1718
9/26,Lou's,5.82,"3,606.59",1122,1718
9/26,Post Office,7.76,308.96,44,1718
9/26,8:15,4,"5,659.04",2188,1718
9/26,Tylers,7.33,"5,444.92",1349,1718
9/26,ETC,5.94,"7,064.19",2385,1718
9/26,Cellar,14.36,"1,639.31",372,1718
9/26,Passport,7.55,"5,577.06",1637,1718
9/27,8:15,4.06,"5,453.15",2085,1718
9/27,ETC,6.54,"8,675.68",2795,1718
9/27,Lou's,6.01,"3,829.51",1217,1718
9/27,Cellar,14.85,"3,113.75",764,1718
9/27,Dean's Den,5.39,846.04,324,1718
9/27,Tylers,7.55,"5,940.90",1474,1718
9/27,Post Office,16.07,658.69,45,1718
9/27,Passport,7.25,"5,923.13",1843,1718
9/28,Dean's Den,5.58,775.15,285,1718
9/28,Lou's,5.68,"2,622.73",841,1718
9/28,Post Office,7.01,223.28,36,1718
9/28,8:15,4.21,"4,506.99",1713,1718
9/28,Tylers,6.95,"5,552.83",1423,1718
9/28,Cellar,13.85,"3,761.97",914,1718
9/28,ETC,5.97,"8,019.90",2746,1718
9/28,Passport,7.22,"5,488.44",1713,1718
9/29,Tylers,7.29,"4,094.92",1036,1718
9/29,8:15,4.1,"1,970.56",783,1718
9/29,Passport,7.38,"4,550.22",1445,1718
9/29,Cellar,14.21,"2,786.14",680,1718
9/29,Lou's,5.83,"1,227.56",383,1718
9/29,Post Office,5.95,153.85,26,1718
9/29,ETC,6.16,"6,467.65",2190,1718
9/30,Passport,7.65,"1,425.64",479,1718
9/30,ETC,6.32,"4,917.46",1632,1718
9/30,8:15,4.36,"1,496.57",571,1718
9/30,Cellar,15.98,"3,688.65",912,1718
10/1,Tylers,8.31,"3,266.37",743,1718
10/1,ETC,6.73,"6,874.91",2274,1718
10/1,Cellar,14.04,"3,385.19",804,1718
10/1,8:15,4.1,"4,731.84",1785,1718
10/1,Dean's Den,6.42,969.4,340,1718
10/2,Post Office,102.81,"4,007.41",47,1718
10/2,Lou's,6.1,"3,907.27",1160,1718
10/2,Tylers,7.28,"5,422.07",1354,1718
10/2,Cellar,14.2,"2,403.87",658,1718
10/2,Passport,7.04,"5,936.54",1855,1718
10/2,Dean's Den,5.49,970.94,375,1718
10/2,8:15,4.08,"5,982.90",2280,1718
10/2,ETC,6.23,"8,180.63",2650,1718
10/3,Passport,7.35,"5,804.66",1715,1718
10/3,Cellar,16.54,"2,455.98",547,1718
10/3,ETC,5.88,"7,446.99",2479,1718
10/3,8:15,4.09,"6,050.77",2323,1718
10/3,Tylers,7.38,"5,535.87",1379,1718
10/3,Dean's Den,5.85,894.03,324,1718
10/3,Lou's,6.05,"3,928.12",1219,1718
10/3,Post Office,13.25,606.69,54,1718
10/4,Post Office,5.72,200.12,36,1718
10/4,8:15,4.01,"5,467.89",2128,1718
10/4,Lou's,5.87,"3,465.36",1091,1718
10/4,Cellar,12.48,"3,480.45",734,1718
10/4,ETC,6.09,"7,577.10",2503,1718
10/4,Tylers,6.89,"4,893.11",1287,1718
10/4,Passport,7.01,"6,009.63",1798,1718
10/4,Dean's Den,5.32,818.81,311,1718
10/5,ETC,6.17,"7,892.81",2639,1718
10/5,Cellar,13.32,"2,544.62",654,1718
10/5,Dean's Den,5.36,910.35,328,1718
10/5,Post Office,11.51,252.11,23,1718
10/5,Lou's,5.77,"2,963.26",933,1718
10/5,Tylers,7.07,"5,082.54",1285,1718
10/5,Passport,7.19,"5,267.88",1673,1718
10/5,Concessions,6.3,170,52,1718
10/5,8:15,4.11,"4,138.68",1576,1718
10/6,Post Office,8.49,228.03,33,1718
10/6,Tylers,7.69,"4,469.72",1134,1718
10/6,ETC,6.17,"6,704.59",2153,1718
10/6,Passport,7.45,"4,310.27",1351,1718
10/6,Cellar,13.49,"2,635.75",660,1718
10/6,8:15,4.21,"1,916.24",752,1718
10/6,Lou's,5.69,"1,331.69",409,1718
10/7,Concessions,7.44,"6,387.00",1870,1718
10/7,8:15,4.08,"1,377.97",526,1718
10/7,ETC,6.45,"5,660.12",1821,1718
10/7,Concessions,7.5,"8,079.00",2333,1718
10/7,Cellar,14.56,"3,516.34",925,1718
10/7,Passport,8.09,"1,562.42",544,1718
10/8,8:15,4.09,"4,773.92",1813,1718
10/8,Tylers,8.14,"3,240.38",749,1718
10/8,Cellar,14.27,"3,291.53",822,1718
10/8,Dean's Den,5.73,940.31,332,1718
